ranking,score,movie_name,score_num,movie_url
92,8.8,甜蜜蜜,243841,https://movie.douban.com/subject/1305164/
93,8.6,致命ID,336877,https://movie.douban.com/subject/1297192/
94,8.7,哈利·波特与魔法石,275578,https://movie.douban.com/subject/1295038/
95,8.9,一一,163949,https://movie.douban.com/subject/1292434/
96,8.8,阳光姐妹淘,283727,https://movie.douban.com/subject/4917726/
97,8.6,断背山,337174,https://movie.douban.com/subject/1418834/
98,8.7,告白,360363,https://movie.douban.com/subject/4268598/
99,8.9,上帝之城,164336,https://movie.douban.com/subject/1292208/
100,8.7,猫鼠游戏,242190,https://movie.douban.com/subject/1305487/
101,8.6,加勒比海盗,364722,https://movie.douban.com/subject/1298070/
102,9.2,摩登时代,94927,https://movie.douban.com/subject/1294371/
103,8.6,阿凡达,553699,https://movie.douban.com/subject/1652587/
104,8.9,穿条纹睡衣的男孩,156811,https://movie.douban.com/subject/3008247/
105,8.7,爱在黎明破晓前,232612,https://movie.douban.com/subject/1296339/
106,8.8,风之谷,185008,https://movie.douban.com/subject/1291585/
107,8.7,消失的爱人,375734,https://movie.douban.com/subject/21318488/
108,8.7,爱在日落黄昏时,208274,https://movie.douban.com/subject/1291990/
109,8.8,侧耳倾听,177600,https://movie.douban.com/subject/1297052/
110,8.8,超脱,181178,https://movie.douban.com/subject/5322596/
111,8.6,倩女幽魂,267384,https://movie.douban.com/subject/1297447/
112,8.9,红辣椒,142267,https://movie.douban.com/subject/1865703/
113,8.7,萤火虫之墓,212678,https://movie.douban.com/subject/1293318/
114,8.7,恐怖直播,234261,https://movie.douban.com/subject/21360417/
115,8.7,驯龙高手,298699,https://movie.douban.com/subject/2353023/
116,8.7,菊次郎的夏天,190872,https://movie.douban.com/subject/1293359/
117,8.6,幸福终点站,234044,https://movie.douban.com/subject/1292274/
118,8.6,岁月神偷,318068,https://movie.douban.com/subject/3792799/
119,8.7,借东西的小人阿莉埃蒂,227023,https://movie.douban.com/subject/4202302/
120,8.5,神偷奶爸,396076,https://movie.douban.com/subject/3287562/
121,9.2,七武士,80457,https://movie.douban.com/subject/1295399/
122,8.9,小森林 夏秋篇,138544,https://movie.douban.com/subject/25814705/
123,8.5,喜剧之王,330954,https://movie.douban.com/subject/1302425/
124,9.0,海洋,101490,https://movie.douban.com/subject/3443389/
125,8.5,真爱至上,327064,https://movie.douban.com/subject/1292401/
126,8.6,杀人回忆,218118,https://movie.douban.com/subject/1300299/
127,8.7,电锯惊魂,206930,https://movie.douban.com/subject/1417598/
128,8.7,谍影重重3,187774,https://movie.douban.com/subject/1578507/
129,8.5,贫民窟的百万富翁,408703,https://movie.douban.com/subject/2209573/
130,8.6,雨人,217000,https://movie.douban.com/subject/1291870/
